House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
20,Richardson Estates,Paige,Baker,16,Daughter,,Female,Student,None,
21,Richardson Estates,Sheila,Carey,49,Head,Divorced,Female,"Investment banker, corporate",None,Catholic
21,Richardson Estates,Derek,Carey,32,Son,Single,Male,Dealer,None,Catholic
21,Richardson Estates,Liam,Scott,29,Son,Single,Male,Osteopath,None,None
21,Richardson Estates,Lucy,Scott,29,Daughter,Single,Female,"Surveyor, mining",None,Catholic
21,Richardson Estates,Adam,Scott,22,Son,Divorced,Male,University Student,None,Catholic
22,Richardson Estates,Georgina,Collins,21,Head,Single,Female,University Student,None,Catholic
22,Richardson Estates,Christian,Miller,49,None,Single,Male,Media planner,None,None
22,Richardson Estates,Craig,Smith,57,None,Single,Male,Trade union research officer,None,Christian
23,Richardson Estates,Tracey,Hawkins,75,Head,Married,Female,Retired Health and safety inspector,None,Catholic
23,Richardson Estates,Eric,Hawkins,77,Husband,Married,Male,Retired Cabin crew,None,None
23,Richardson Estates,Frances,Hawkins,12,Adopted Granddaughter,,Female,Student,None,
23,Richardson Estates,Darren,Miles,8,Grandson,,Male,Student,Disabled,
24,Richardson Estates,Joanne,Young,79,Head,Married,Female,Retired Bookseller,None,Christian
24,Richardson Estates,Liam,Young,80,Husband,Married,Male,Retired Risk analyst,None,None
25,Richardson Estates,Wendy,Shaw,66,Head,Widowed,Female,"Programmer, systems",None,Catholic
25,Richardson Estates,Kimberley,Shaw,6,Granddaughter,,Female,Student,None,
25,Richardson Estates,Nigel,Parry,4,Grandson,,Male,Child,None,
25,Richardson Estates,Ben,Bartlett,3,Grandson,,Male,Child,None,
26,Richardson Estates,Hayley,Newton,21,Head,Single,Female,University Student,None,None
26,Richardson Estates,Gail,Wilson,19,None,Single,Female,University Student,None,None
27,Richardson Estates,Kevin,Gough,26,Head,Single,Male,Manufacturing engineer,None,Methodist
27,Richardson Estates,Valerie,Fleming,62,None,Single,Female,Pensions consultant,None,Christian
27,Richardson Estates,Lisa,Richardson,58,None,Single,Female,Advertising account executive,None,Christian
27,Richardson Estates,Chelsea,Kennedy,62,None,Single,Female,Unemployed,None,Christian
27,Richardson Estates,Terry,Williams,21,None,Single,Male,University Student,None,None
27,Richardson Estates,Valerie,Taylor,43,None,Single,Female,Unemployed,None,Christian
28,Richardson Estates,Judith,Newton,31,Head,Divorced,Female,Social worker,None,None
28,Richardson Estates,Brenda,Newton,1,Daughter,,Female,Child,None,
28,Richardson Estates,Jessica,Newton,0,Daughter,,Female,Child,None,
29,Richardson Estates,Lisa,Williams,65,Head,Married,Female,"Psychologist, forensic",None,Catholic
29,Richardson Estates,Christopher,Williams,67,Husband,Married,Male,Consulting civil engineer,None,Catholic
29,Richardson Estates,Rachel,Williams,30,Daughter,Single,Female,Chartered management accountant,None,Catholic
29,Richardson Estates,Olivia,Williams,26,Daughter,Single,Female,Unemployed,None,Catholic
29,Richardson Estates,Shirley,Williams,8,Daughter,,Female,Student,None,
30,Richardson Estates,Tracy,Knight,41,Head,Married,Female,Water engineer,None,Christian
30,Richardson Estates,Luke,Knight,42,Husband,Married,Male,Minerals surveyor,None,Christian
31,Richardson Estates,Joe,McKenzie,79,Head,Widowed,Male,Retired Ranger/warden,None,Methodist
32,Richardson Estates,Marilyn,Barker,25,Head,Single,Female,Orthoptist,None,Muslim
32,Richardson Estates,Owen,Edwards,25,Partner,Single,Male,Mudlogger,None,None
32,Richardson Estates,Danny,Barker,0,Son,,Male,Child,None,
33,Richardson Estates,Mary,Taylor,54,Head,Married,Female,Press photographer,None,Christian
33,Richardson Estates,Wayne,Taylor,50,Husband,Married,Male,Music tutor,None,None
33,Richardson Estates,Molly,Taylor,24,Daughter,Single,Female,Geophysicist/field seismologist,None,Christian
34,Richardson Estates,Janet,Baker-Noble,39,Head,Married,Female,Probation officer,None,None
34,Richardson Estates,Oliver,Baker-Noble,41,Husband,Married,Male,Musician,None,None
35,Richardson Estates,Graham,Phillips,30,Head,Divorced,Male,Unemployed,None,Muslim
35,Richardson Estates,Alan,Phillips,12,Son,,Male,Student,None,
36,Richardson Estates,Stacey,Bell,88,Head,Married,Female,Retired Futures trader,None,None
36,Richardson Estates,Tony,Bell,92,Husband,Married,Male,Retired Community pharmacist,None,None
37,Richardson Estates,Nicholas,Turner,76,Head,Widowed,Male,Unemployed,None,None
37,Richardson Estates,Jonathan,Turner,37,Son,Single,Male,Plant breeder/geneticist,None,None
37,Richardson Estates,Oliver,Turner,37,Son,Single,Male,Outdoor activities/education manager,None,None
37,Richardson Estates,Hazel,Turner,34,Daughter,Single,Female,Dietitian,None,None
38,Richardson Estates,Allan,Mason,55,Head,Divorced,Male,Claims inspector/assessor,None,None
38,Richardson Estates,Josephine,Mason,37,Daughter,Single,Female,Insurance account manager,None,None
39,Richardson Estates,Jack,White,37,Head,Divorced,Male,Medical laboratory scientific officer,None,Christian
39,Richardson Estates,Sean,White,8,Step-Son,,Male,Student,None,
40,Richardson Estates,Cheryl,Clark,52,Head,Married,Female,Product designer,None,Catholic
40,Richardson Estates,Alan,Clark,53,Husband,Married,Male,"Engineer, agricultural",None,None
41,Richardson Estates,Sheila,Ashton,41,Head,Married,Female,"Development worker, community",None,Christian
41,Richardson Estates,Maurice,Ashton,37,Husband,Married,Male,Environmental health practitioner,None,Christian
41,Richardson Estates,Brian,Ashton,5,Son,,Male,Student,None,
41,Richardson Estates,Tina,Page-Ashton,1,Daughter,,Female,Child,None,
42,Richardson Estates,Kerry,Baker,74,Head,Married,Female,Retired Animal nutritionist,None,Christian
42,Richardson Estates,Dean,Baker,71,Husband,Married,Male,Retired Counselling psychologist,None,None
43,Richardson Estates,Craig,Arnold,62,Head,Single,Male,Manufacturing engineer,None,Christian
43,Richardson Estates,Trevor,Day,48,None,Single,Male,Heritage manager,None,None
43,Richardson Estates,Hannah,Davies,23,None,Single,Female,Tax inspector,None,Catholic
43,Richardson Estates,Nigel,Vincent,53,None,Single,Male,Building surveyor,None,Christian
44,Richardson Estates,Elizabeth,Khan,39,Head,Married,Female,Art gallery manager,None,Catholic
44,Richardson Estates,Kyle,Khan,40,Husband,Married,Male,Fitness centre manager,None,None
44,Richardson Estates,Ashley,Khan,11,Son,,Male,Student,None,
45,Richardson Estates,Bethany,Akhtar,35,Head,Single,Female,Curator,None,None
45,Richardson Estates,Anthony,Evans,41,Partner,Single,Male,Trading standards officer,None,None
46,Richardson Estates,Kenneth,Williams,61,Head,Single,Male,Petroleum engineer,None,Christian
46,Richardson Estates,Glen,Roberts,37,None,Single,Male,Investment analyst,None,Catholic
46,Richardson Estates,Robin,Edwards,44,None,Single,Male,Politician's assistant,None,Catholic
47,Richardson Estates,Deborah,Palmer,32,Head,Divorced,Female,Armed forces training and education officer,None,None
47,Richardson Estates,Carly,Palmer,7,Daughter,,Female,Student,None,
47,Richardson Estates,Lewis,Palmer,0,Son,,Male,Child,None,
48,Richardson Estates,Natasha,Bennett,45,Head,Married,Female,"Engineer, manufacturing",None,Christian
48,Richardson Estates,Leslie,Bennett,47,Husband,Married,Male,Financial manager,None,None
48,Richardson Estates,Martyn,Bennett,14,Son,,Male,Student,None,
49,Richardson Estates,Lydia,Barker,26,Head,Married,Female,Telecommunications researcher,None,Methodist
49,Richardson Estates,Justin,Barker,33,Husband,Married,Male,IT trainer,None,Methodist
49,Richardson Estates,Maria,Barker,9,Daughter,,Female,Student,None,
50,Richardson Estates,Richard,Wright,45,Head,Married,Male,"Teacher, adult education",None,Christian
50,Richardson Estates,Annette,Wright,44,Wife,Married,Female,"Surveyor, rural practice",None,None
51,Richardson Estates,Brenda,Sharp,61,Head,Single,Female,Psychiatrist,None,Methodist
52,Richardson Estates,Gordon,Bibi,47,Head,Married,Male,Dietitian,None,Catholic
52,Richardson Estates,Fiona,Bibi,40,Wife,Married,Female,Community pharmacist,None,Catholic
52,Richardson Estates,Graeme,Bibi,16,Son,,Male,Student,None,
52,Richardson Estates,Howard,Bibi,12,Son,,Male,Student,None,
53,Richardson Estates,Ruth,Davies,33,Head,Married,Female,"Designer, television/film set",None,Catholic
53,Richardson Estates,Bradley,Davies,36,Husband,Married,Male,"Nurse, learning disability",None,Catholic
53,Richardson Estates,Chloe,Davies,8,Daughter,,Female,Student,None,
54,Richardson Estates,Connor,Begum,38,Head,Single,Male,"Surveyor, quantity",None,Catholic
54,Richardson Estates,Rita,Lane,37,None,Single,Female,Biomedical engineer,None,Christian
54,Richardson Estates,Chelsea,Walker,43,None,Single,Female,Media planner,None,Catholic
55,Richardson Estates,Pauline,Walton,57,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Christian
55,Richardson Estates,Christopher,Walton,59,Husband,Married,Male,Prison officer,None,None
55,Richardson Estates,Marie,Walton,25,Daughter,Single,Female,"Scientist, research (life sciences)",None,None
55,Richardson Estates,Aaron,Walton,22,Son,Single,Male,Clinical research associate,None,Christian
56,Richardson Estates,Sarah,Stewart,81,Head,Widowed,Female,Retired Occupational hygienist,None,None
57,Richardson Estates,Wendy,Briggs,25,Head,Married,Female,Patent attorney,None,Catholic
57,Richardson Estates,Jonathan,Briggs,24,Husband,Married,Male,"Scientist, research (physical sciences)",None,None
57,Richardson Estates,Sian,Briggs,1,Daughter,,Female,Child,None,
57,Richardson Estates,Hilary,Clark,24,Lodger,Single,Female,"Research officer, trade union",None,None
58,Richardson Estates,Craig,Walsh,70,Head,Widowed,Male,"Retired Conservator, furniture",None,None
59,Richardson Estates,Alexandra,Simpson,83,Head,Married,Female,"Retired Designer, fashion/clothing",None,Methodist
59,Richardson Estates,Tony,Simpson,81,Husband,Married,Male,Retired Adult nurse,None,None
60,Richardson Estates,Margaret,Gallagher,45,Head,Married,Female,Interior and spatial designer,None,None
60,Richardson Estates,Jeffrey,Gallagher,50,Husband,Married,Male,English as a foreign language teacher,None,None
60,Richardson Estates,Jake,Gallagher,15,Son,,Male,Student,None,
61,Richardson Estates,Harriet,Gray,60,Head,Married,Female,Public relations officer,None,Methodist
61,Richardson Estates,Raymond,Gray,64,Husband,Married,Male,Holiday representative,None,Methodist
61,Richardson Estates,Geoffrey,Pritchard-Gray,26,Son,Divorced,Male,Music therapist,None,Methodist
62,Richardson Estates,Natasha,Burrows,33,Head,Single,Female,Quantity surveyor,None,Catholic
63,Richardson Estates,Jeremy,Jones,41,Head,Single,Male,Retail banker,None,Christian
63,Richardson Estates,Danny,Day,61,None,Single,Male,Applications developer,None,Christian
64,Richardson Estates,Adam,Jones,22,Head,Single,Male,University Student,None,Catholic
64,Richardson Estates,Bethan,Ali,21,Partner,Single,Female,University Student,None,Catholic
65,Richardson Estates,Catherine,Clements,27,Head,Single,Female,English as a second language teacher,None,Christian
65,Richardson Estates,Lydia,Clements,4,Daughter,,Female,Child,None,
66,Richardson Estates,Matthew,Lee,76,Head,Married,Male,Retired Trade union research officer,None,Christian
66,Richardson Estates,Lauren,Lee,70,Wife,Married,Female,"Retired Scientist, physiological",None,Christian
67,Richardson Estates,Justin,Bradley,65,Head,Widowed,Male,Unemployed,None,None
68,Richardson Estates,Leon,Bird,63,Head,Single,Male,Senior tax professional/tax inspector,None,Catholic
68,Richardson Estates,Karen,Howe,15,Granddaughter,,Female,Student,None,
69,Richardson Estates,Liam,Manning,73,Head,Widowed,Male,Retired Hydrologist,None,None
70,Richardson Estates,Daniel,Bentley,61,Head,Divorced,Male,Immigration officer,None,Methodist
70,Richardson Estates,Derek,Bentley,15,Grandson,,Male,Student,None,
71,Richardson Estates,Shirley,Bell,21,Head,Single,Female,University Student,None,None
71,Richardson Estates,Natalie,Gallagher,21,None,Single,Female,University Student,None,None
71,Richardson Estates,Denise,Hammond,22,None,Single,Female,University Student,None,Jewish
71,Richardson Estates,Tony,Davies,18,None,Single,Male,University Student,None,None
71,Richardson Estates,Charlotte,Begum,20,None,Single,Female,University Student,None,None
72,Richardson Estates,Joan,Hudson,54,Head,Single,Female,Town planner,None,Methodist
72,Richardson Estates,Damian,Richards,40,None,Single,Male,Soil scientist,None,None
72,Richardson Estates,Mitchell,Kirby,45,None,Single,Male,"Radiographer, therapeutic",None,Christian
72,Richardson Estates,Joan,Patel,44,None,Single,Female,Clinical molecular geneticist,None,Christian
72,Richardson Estates,Kelly,Baker,53,None,Single,Female,Race relations officer,None,Christian
73,Richardson Estates,Marian,Smith,35,Head,Divorced,Female,"Librarian, public",None,None
73,Richardson Estates,Amelia,Smith,0,Daughter,,Female,Child,None,
74,Richardson Estates,Gerard,Cooper,25,Head,Single,Male,PhD Student,None,Catholic
74,Richardson Estates,Vincent,O'Neill,20,None,Single,Male,University Student,None,Christian
75,Richardson Estates,Ronald,Thomas,83,Head,Married,Male,Retired Biomedical scientist,None,Christian
75,Richardson Estates,Marian,Thomas,82,Wife,Married,Female,Retired Sport and exercise psychologist,None,Christian
76,Richardson Estates,Kieran,James,41,Head,Married,Male,"Psychologist, sport and exercise",None,Christian
76,Richardson Estates,Rachel,James,42,Wife,Married,Female,"Sound technician, broadcasting/film/video",None,None
77,Richardson Estates,Geraldine,Rhodes,51,Head,Married,Female,"Scientist, research (life sciences)",None,Christian
77,Richardson Estates,Graeme,Rhodes,53,Husband,Married,Male,"Engineer, automotive",None,Christian
78,Richardson Estates,Angela,Rowley,30,Head,Single,Female,"Surveyor, quantity",None,Christian
78,Richardson Estates,Declan,Walsh,22,None,Single,Male,University Student,None,None
79,Richardson Estates,Leah,Smith,44,Head,Single,Female,"Therapist, music",None,Catholic
79,Richardson Estates,Roger,Price,29,None,Single,Male,Unemployed,None,None
79,Richardson Estates,Josephine,Williams,59,None,Single,Female,Corporate treasurer,None,Methodist
79,Richardson Estates,Jayne,Lowe,23,None,Single,Female,Microbiologist,None,None
80,Richardson Estates,Callum,Singh-Martin,70,Head,Married,Male,Retired Hydrologist,None,Catholic
80,Richardson Estates,Frances,Singh-Martin,68,Wife,Married,Female,"Retired Nurse, adult",None,Catholic
81,Richardson Estates,Sharon,Richardson,45,Head,Married,Female,"Programmer, applications",None,Methodist
81,Richardson Estates,Duncan,Richardson,47,Husband,Married,Male,Waste management officer,None,Methodist
81,Richardson Estates,Gordon,Richardson,9,Son,,Male,Student,None,
81,Richardson Estates,Heather,Richardson,5,Daughter,,Female,Student,None,
81,Richardson Estates,Yvonne,Palmer,28,Lodger,Widowed,Female,Camera operator,None,None
82,Richardson Estates,Frances,Begum,36,Head,Single,Female,Advertising account executive,None,Catholic
82,Richardson Estates,Francis,Stanley,41,Partner,Single,Male,Public relations officer,None,Catholic
83,Richardson Estates,Sandra,Morgan,38,Head,Married,Female,Agricultural engineer,None,Catholic
83,Richardson Estates,Matthew,Morgan,50,Husband,Married,Male,Chief Executive Officer,None,None
83,Richardson Estates,Chloe,Morgan,3,Daughter,,Female,Child,None,
83,Richardson Estates,Alexander,Morgan,1,Son,,Male,Child,None,
84,Richardson Estates,Ann,Mills,44,Head,Single,Female,Research scientist (medical),None,None
85,Richardson Estates,Rebecca,Smith,84,Head,Single,Female,Retired Writer,None,None
86,Richardson Estates,Leon,Akhtar,83,Head,Married,Male,Retired Cytogeneticist,None,Christian
86,Richardson Estates,Kate,Akhtar,81,Wife,Married,Female,Retired Clinical research associate,None,Christian
87,Richardson Estates,Shane,Thompson,20,Head,Single,Male,University Student,None,None
88,Richardson Estates,Marilyn,Jones,42,Head,Married,Female,Location manager,None,None
88,Richardson Estates,Julian,Jones,44,Husband,Married,Male,Neurosurgeon,None,None
89,Richardson Estates,Annette,Roberts,53,Head,Single,Female,Historic buildings inspector/conservation officer,None,None
90,Richardson Estates,Denise,Johnson,80,Head,Widowed,Female,Retired Sports therapist,None,Christian
90,Richardson Estates,Charles,Smith,40,Son,Single,Male,Geophysicist/field seismologist,None,Christian
90,Richardson Estates,Tom,Smith,39,Son,Divorced,Male,Public house manager,None,Christian
90,Richardson Estates,Eileen,Smith,35,Daughter,Single,Female,"Administrator, sports",None,Christian
90,Richardson Estates,Oliver,Smith,33,Son,Single,Male,Warden/ranger,None,Christian
91,Richardson Estates,Alice,Walker,79,Head,Widowed,Female,Retired Local government officer,None,Christian
92,Richardson Estates,Karl,Scott,53,Head,Married,Male,Physiological scientist,None,Catholic
92,Richardson Estates,Jasmine,Scott,51,Wife,Married,Female,Intelligence analyst,None,Catholic
93,Richardson Estates,Owen,Turner,22,Head,Single,Male,University Student,None,
93,Richardson Estates,Sean,Wood,21,None,Single,Male,University Student,None,None
94,Richardson Estates,Aaron,Archer,20,Head,Married,Male,University Student,None,None
94,Richardson Estates,Jacqueline,Archer,19,Wife,Married,Female,University Student,None,None
95,Richardson Estates,Christine,Griffiths,48,Head,Single,Female,Unemployed,None,Catholic
95,Richardson Estates,Paige,Griffiths,13,Daughter,,Female,Student,None,
96,Richardson Estates,Jack,Farrell-Watts,69,Head,Divorced,Male,"Retired Psychologist, counselling",None,None
96,Richardson Estates,Iain,Murphy,8,Grandson,,Male,Student,None,
97,Richardson Estates,Nicole,Brown,81,Head,Married,Female,Retired IT trainer,None,None
97,Richardson Estates,Justin,Brown,87,Husband,Married,Male,Retired Hotel manager,None,None
98,Richardson Estates,Grace,Scott,64,Head,Single,Female,Hydrographic surveyor,None,Christian
98,Richardson Estates,Damian,Dawson,67,Partner,Single,Male,Unemployed,None,Christian
99,Richardson Estates,Sally,Bird,35,Head,Married,Female,"Librarian, academic",None,None
99,Richardson Estates,Lawrence,Bird,35,Husband,Married,Male,Optometrist,None,None
99,Richardson Estates,Lynda,Bird,6,Daughter,,Female,Student,None,
99,Richardson Estates,Joe,Bird,2,Son,,Male,Child,None,
99,Richardson Estates,Iain,Woods,44,Lodger,Single,Male,Translator,None,Christian
100,Richardson Estates,Charles,Sutton,57,Head,Single,Male,"Sound technician, broadcasting/film/video",None,Christian
100,Richardson Estates,Lewis,Sutton,15,Grandson,,Male,Student,None,
100,Richardson Estates,Janice,Tucker,14,Granddaughter,,Female,Student,None,
100,Richardson Estates,Olivia,Tucker,11,Granddaughter,,Female,Student,None,
101,Richardson Estates,Joseph,Gardiner,25,Head,Single,Male,"Radiographer, therapeutic",None,None
101,Richardson Estates,Emma,Cox,51,None,Divorced,Female,Surgeon,None,Methodist
101,Richardson Estates,Bruce,Moore,64,None,Single,Male,Art gallery manager,None,Christian
102,Richardson Estates,Annette,Taylor,19,Head,Single,Female,University Student,None,None
102,Richardson Estates,Geoffrey,Price,20,None,Single,Male,University Student,None,None
103,Richardson Estates,Leanne,Doyle,40,Head,Single,Female,Exhibition designer,None,None
104,Richardson Estates,Joshua,Green,18,Head,Married,Male,Student,None,
104,Richardson Estates,Charlene,Green,19,Wife,Married,Female,University Student,Disabled,
105,Richardson Estates,Valerie,Dean,75,Head,Divorced,Female,"Retired Production designer, theatre/television/film",None,Christian
106,Richardson Estates,Ashley,Davies,61,Head,Divorced,Male,"Engineer, site",None,Christian
107,Richardson Estates,Barbara,Wells,68,Head,Married,Female,Retired Graphic designer,None,Methodist
107,Richardson Estates,Anthony,Wells,64,Husband,Married,Male,Seismic interpreter,None,None
108,Richardson Estates,Bethany,Thomas,53,Head,Single,Female,Unemployed,None,Christian
109,Richardson Estates,Vanessa,Cole,53,Head,Single,Female,Music tutor,None,Christian
109,Richardson Estates,Connor,Johnson,53,Partner,Single,Male,Financial manager,None,Christian
109,Richardson Estates,Gerard,Cole,17,Son,,Male,Student,None,
110,Richardson Estates,Georgia,Webb,59,Head,Widowed,Female,"Surveyor, planning and development",None,Christian
110,Richardson Estates,Jacqueline,Webb,16,Granddaughter,,Female,Student,None,
111,Richardson Estates,Lynda,Gallagher,37,Head,Married,Female,Unemployed,None,Catholic
111,Richardson Estates,Declan,Gallagher,43,Husband,Married,Male,Museum/gallery curator,None,Catholic
111,Richardson Estates,Ashley,Gallagher,4,Son,,Male,Child,None,
111,Richardson Estates,Steven,Gallagher,0,Son,,Male,Child,None,
111,Richardson Estates,Lindsey,Edwards,56,Lodger,Single,Female,IT consultant,None,Christian
112,Richardson Estates,Kerry,Tomlinson,42,Head,Married,Female,Visual merchandiser,None,Catholic
112,Richardson Estates,Clifford,Tomlinson,48,Husband,Married,Male,Best boy,None,Catholic
112,Richardson Estates,Sam,Tomlinson,8,Son,,Male,Student,None,
113,Richardson Estates,Scott,Moore,44,Head,Married,Male,Retail banker,None,None
113,Richardson Estates,Lauren,Moore,41,Wife,Married,Female,Insurance claims handler,None,None
113,Richardson Estates,Stephen,Moore,17,Son,,Male,Student,None,
113,Richardson Estates,Connor,Moore,16,Son,,Male,Student,None,
113,Richardson Estates,Leanne,Moore,15,Daughter,,Female,Student,None,
114,Richardson Estates,Matthew,Savage,104,Head,Married,Male,Retired Magazine features editor,None,None
114,Richardson Estates,Amanda,Savage,98,Wife,Married,Female,"Retired Horticulturist, commercial",None,None
115,Richardson Estates,Suzanne,Williams,33,Head,Divorced,Female,Software engineer,None,None
115,Richardson Estates,Tracey,Williams,2,Daughter,,Female,Child,None,
116,Richardson Estates,Maureen,Wade,52,Head,Married,Female,Occupational therapist,None,Catholic
116,Richardson Estates,Danny,Wade,50,Husband,Married,Male,Operations geologist,None,Catholic
117,Richardson Estates,Sean,Ali,38,Head,Single,Male,Proofreader,None,Christian
117,Richardson Estates,Karl,Brown,30,None,Single,Male,Architect,None,Christian
117,Richardson Estates,Kimberley,Hewitt,52,None,Single,Female,Location manager,None,Christian
118,Richardson Estates,Carol,Foster,59,Head,Married,Female,"Engineer, water",None,Christian
118,Richardson Estates,Clive,Foster,63,Husband,Married,Male,"Runner, broadcasting/film/video",None,Christian
118,Richardson Estates,Ann,Foster,35,Daughter,Single,Female,Music tutor,None,Christian
119,Richardson Estates,Leah,Walters,54,Head,Married,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
119,Richardson Estates,Dominic,Walters,56,Husband,Married,Male,"Civil engineer, contracting",None,Christian
119,Richardson Estates,Luke,Walters,19,Son,Single,Male,University Student,None,None
119,Richardson Estates,Dorothy,Walters,17,Daughter,,Female,Student,None,
120,Richardson Estates,Kirsty,Lynch,31,Head,Married,Female,Recycling officer,None,Christian
120,Richardson Estates,Peter,Lynch,34,Husband,Married,Male,Radio producer,None,None
121,Richardson Estates,Beth,Martin,63,Head,Married,Female,Air cabin crew,None,Christian
121,Richardson Estates,Owen,Martin,67,Husband,Married,Male,Telecommunications researcher,None,Christian
122,Richardson Estates,Leanne,Baker,78,Head,Married,Female,Retired General practice doctor,None,Methodist
122,Richardson Estates,Kyle,Baker,79,Husband,Married,Male,Retired Estate agent,None,None
123,Richardson Estates,Beverley,Brown,31,Head,Married,Female,Arts development officer,None,Catholic
123,Richardson Estates,Mitchell,Brown,31,Husband,Married,Male,Electronics engineer,None,None
124,Richardson Estates,Caroline,Campbell,79,Head,Divorced,Female,Unemployed,None,Jewish
124,Richardson Estates,Irene,Campbell,44,Daughter,Divorced,Female,Biomedical engineer,None,Jewish
124,Richardson Estates,Michael,Campbell,43,Son,Single,Male,Energy engineer,None,Jewish
124,Richardson Estates,Brett,Campbell,41,Son,Single,Male,Recruitment consultant,None,Jewish
124,Richardson Estates,Sean,Campbell,40,Son,Single,Male,International aid/development worker,None,None
125,Richardson Estates,Lawrence,Smith,64,Head,Married,Male,Unemployed,None,Christian
125,Richardson Estates,Sylvia,Smith,61,Wife,Married,Female,"Librarian, public",None,None
126,Richardson Estates,Alan,Harris,39,Head,Single,Male,Environmental education officer,None,None
126,Richardson Estates,Hollie,Hughes,32,Partner,Single,Female,Cytogeneticist,None,None
126,Richardson Estates,Gail,Harris,5,Daughter,,Female,Student,None,
126,Richardson Estates,Leanne,Harris,5,Daughter,,Female,Student,None,
127,Richardson Estates,Louise,Watkins,64,Head,Married,Female,"Surveyor, commercial/residential",None,None
127,Richardson Estates,Katy,Watkins,67,Wife,Married,Female,"Accountant, chartered management",None,None
128,Richardson Estates,Holly,Phillips,33,Head,Married,Female,Training and development officer,None,None
128,Richardson Estates,Brett,Phillips,31,Husband,Married,Male,Broadcast engineer,None,None
1,Carlisle Crest,Lynne,King,29,Head,Single,Female,Unemployed,None,Muslim
2,Carlisle Crest,Olivia,Newman,44,Head,Married,Female,Public librarian,None,Catholic
2,Carlisle Crest,Sam,Newman,46,Husband,Married,Male,Firefighter,None,None
2,Carlisle Crest,Shaun,Newman,17,Son,,Male,Student,None,
2,Carlisle Crest,Jacob,Newman,12,Son,,Male,Student,None,
2,Carlisle Crest,Leslie,Newman,10,Son,,Male,Student,None,
3,Carlisle Crest,Kevin,Abbott,66,Head,Married,Male,Architectural technologist,None,Christian
3,Carlisle Crest,Maureen,Abbott,63,Wife,Married,Female,"Engineer, water",None,Christian
4,Carlisle Crest,Bernard,Morris-Farmer,53,Head,Married,Male,Animal technologist,None,None
4,Carlisle Crest,Jodie,Morris-Farmer,50,Wife,Married,Female,Museum/gallery exhibitions officer,None,None
5,Carlisle Crest,Nicole,Morley,65,Head,Widowed,Female,Dispensing optician,None,Christian
6,Carlisle Crest,Geraldine,Holland,47,Head,Divorced,Female,Unemployed,None,Catholic
6,Carlisle Crest,Marilyn,Holland,13,Daughter,,Female,Student,None,
7,Carlisle Crest,Leon,Daly,42,Head,Married,Male,Travel agency manager,None,Christian
7,Carlisle Crest,Sylvia,Daly,40,Wife,Married,Female,Unemployed,None,Christian
8,Carlisle Crest,Craig,Howell,30,Head,Single,Male,"Administrator, charities/voluntary organisations",Physical Disability,Catholic
8,Carlisle Crest,Christine,Iqbal,50,None,Single,Female,Diplomatic Services operational officer,None,Christian
8,Carlisle Crest,Eleanor,Simpson,50,None,Single,Female,Firefighter,None,Christian
8,Carlisle Crest,Danielle,Lamb,64,None,Single,Female,International aid/development worker,None,Christian
8,Carlisle Crest,Marion,Chadwick,23,None,Single,Female,"Investment banker, operational",None,Christian
9,Carlisle Crest,Mary,Thompson,52,Head,Single,Female,Theatre stage manager,None,Christian
9,Carlisle Crest,Nathan,Parker,48,Partner,Single,Male,Systems developer,None,None
9,Carlisle Crest,Damien,Thompson,17,Son,,Male,Student,None,
10,Carlisle Crest,Marian,Porter,31,Head,Single,Female,Astronomer,None,None
10,Carlisle Crest,Elliot,Johnston,33,Partner,Single,Male,Geochemist,None,None
10,Carlisle Crest,Sean,Porter,6,Son,,Male,Student,None,
11,Carlisle Crest,Kelly,Parker,38,Head,Married,Female,"Engineer, drilling",None,Catholic
11,Carlisle Crest,William,Parker,43,Husband,Married,Male,"Research officer, political party",None,Catholic
11,Carlisle Crest,Julie,Parker,16,Daughter,,Female,Student,None,
12,Carlisle Crest,Shirley,Patterson,84,Head,Married,Female,"Retired Engineer, technical sales",None,None
12,Carlisle Crest,Gregory,Patterson,82,Husband,Married,Male,Retired Archivist,None,None
13,Carlisle Crest,Bethan,Turner,44,Head,Married,Female,Publishing copy,None,Catholic
13,Carlisle Crest,Garry,Turner-Woodward,51,Husband,Married,Male,Information officer,None,None
13,Carlisle Crest,Lisa,Turner-Woodward,19,Daughter,Single,Female,University Student,None,Catholic
13,Carlisle Crest,Catherine,Turner-Woodward,17,Daughter,,Female,Student,None,
13,Carlisle Crest,Emily,Turner-Woodward,15,Daughter,,Female,Student,None,
14,Carlisle Crest,Shannon,Nicholls,41,Head,Married,Female,"Engineer, land",Mental Disability,Catholic
14,Carlisle Crest,Damien,Nicholls,43,Husband,Married,Male,Immunologist,None,None
14,Carlisle Crest,Hilary,Nicholls,13,Daughter,,Female,Student,None,
15,Carlisle Crest,Katy,Lee,31,Head,Married,Female,Water quality scientist,None,None
15,Carlisle Crest,Trevor,Lee,29,Husband,Married,Male,Phytotherapist,None,None
16,Carlisle Crest,Scott,Riley,55,Head,Married,Male,"Buyer, retail",None,None
16,Carlisle Crest,Anne,Riley,53,Wife,Married,Female,Tour manager,None,None
